PassengerId,Survived,Pclass,Age,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title,FamilySize
1,0,3,22.0,7.25,,0,1,0,0,1,Mr,2
2,1,1,38.0,71.2833,C85,1,0,1,0,0,Mrs,2
3,1,3,26.0,7.925,,1,0,0,0,1,Miss,1
4,1,1,35.0,53.1,C123,1,0,0,0,1,Mrs,2
5,0,3,35.0,8.05,,0,1,0,0,1,Mr,1
6,0,3,,8.4583,,0,1,0,1,0,Mr,1
7,0,1,54.0,51.8625,E46,0,1,0,0,1,Mr,1
8,0,3,2.0,21.075,,0,1,0,0,1,Master,5
9,1,3,27.0,11.1333,,1,0,0,0,1,Mrs,3
10,1,2,14.0,30.0708,,1,0,1,0,0,Mrs,2
11,1,3,4.0,16.7,G6,1,0,0,0,1,Miss,3
12,1,1,58.0,26.55,C103,1,0,0,0,1,Miss,1
13,0,3,20.0,8.05,,0,1,0,0,1,Mr,1
14,0,3,39.0,31.275,,0,1,0,0,1,Mr,7
15,0,3,14.0,7.8542,,1,0,0,0,1,Miss,1
16,1,2,55.0,16.0,,1,0,0,0,1,Mrs,1
17,0,3,2.0,29.125,,0,1,0,1,0,Master,6
18,1,2,,13.0,,0,1,0,0,1,Mr,1
19,0,3,31.0,18.0,,1,0,0,0,1,Mrs,2
20,1,3,,7.225,,1,0,1,0,0,Mrs,1
21,0,2,35.0,26.0,,0,1,0,0,1,Mr,1
22,1,2,34.0,13.0,D56,0,1,0,0,1,Mr,1
23,1,3,15.0,8.0292,,1,0,0,1,0,Miss,1
24,1,1,28.0,35.5,A6,0,1,0,0,1,Mr,1
25,0,3,8.0,21.075,,1,0,0,0,1,Miss,5
26,1,3,38.0,31.3875,,1,0,0,0,1,Mrs,7
27,0,3,,7.225,,0,1,1,0,0,Mr,1
28,0,1,19.0,263.0,C23 C25 C27,0,1,0,0,1,Mr,6
29,1,3,,7.8792,,1,0,0,1,0,Miss,1
30,0,3,,7.8958,,0,1,0,0,1,Mr,1
31,0,1,40.0,27.7208,,0,1,1,0,0,Don,1
32,1,1,,146.5208,B78,1,0,1,0,0,Mrs,2
33,1,3,,7.75,,1,0,0,1,0,Miss,1
34,0,2,66.0,10.5,,0,1,0,0,1,Mr,1
35,0,1,28.0,82.1708,,0,1,1,0,0,Mr,2
36,0,1,42.0,52.0,,0,1,0,0,1,Mr,2
37,1,3,,7.2292,,0,1,1,0,0,Mr,1
38,0,3,21.0,8.05,,0,1,0,0,1,Mr,1
39,0,3,18.0,18.0,,1,0,0,0,1,Miss,3
40,1,3,14.0,11.2417,,1,0,1,0,0,Miss,2
41,0,3,40.0,9.475,,1,0,0,0,1,Mrs,2
42,0,2,27.0,21.0,,1,0,0,0,1,Mrs,2
43,0,3,,7.8958,,0,1,1,0,0,Mr,1
44,1,2,3.0,41.5792,,1,0,1,0,0,Miss,4
45,1,3,19.0,7.8792,,1,0,0,1,0,Miss,1
46,0,3,,8.05,,0,1,0,0,1,Mr,1
47,0,3,,15.5,,0,1,0,1,0,Mr,2
48,1,3,,7.75,,1,0,0,1,0,Miss,1
49,0,3,,21.6792,,0,1,1,0,0,Mr,3
50,0,3,18.0,17.8,,1,0,0,0,1,Mrs,2
51,0,3,7.0,39.6875,,0,1,0,0,1,Master,6
52,0,3,21.0,7.8,,0,1,0,0,1,Mr,1
53,1,1,49.0,76.7292,D33,1,0,1,0,0,Mrs,2
54,1,2,29.0,26.0,,1,0,0,0,1,Mrs,2
55,0,1,65.0,61.9792,B30,0,1,1,0,0,Mr,2
56,1,1,,35.5,C52,0,1,0,0,1,Mr,1
57,1,2,21.0,10.5,,1,0,0,0,1,Miss,1
58,0,3,28.5,7.2292,,0,1,1,0,0,Mr,1
59,1,2,5.0,27.75,,1,0,0,0,1,Miss,4
60,0,3,11.0,46.9,,0,1,0,0,1,Master,8
61,0,3,22.0,7.2292,,0,1,1,0,0,Mr,1
62,1,1,38.0,80.0,B28,1,0,0,0,0,Miss,1
63,0,1,45.0,83.475,C83,0,1,0,0,1,Mr,2
64,0,3,4.0,27.9,,0,1,0,0,1,Master,6
65,0,1,,27.7208,,0,1,1,0,0,Mr,1
66,1,3,,15.2458,,0,1,1,0,0,Master,3
67,1,2,29.0,10.5,F33,1,0,0,0,1,Mrs,1
68,0,3,19.0,8.1583,,0,1,0,0,1,Mr,1
69,1,3,17.0,7.925,,1,0,0,0,1,Miss,7
70,0,3,26.0,8.6625,,0,1,0,0,1,Mr,3
71,0,2,32.0,10.5,,0,1,0,0,1,Mr,1
72,0,3,16.0,46.9,,1,0,0,0,1,Miss,8
73,0,2,21.0,73.5,,0,1,0,0,1,Mr,1
74,0,3,26.0,14.4542,,0,1,1,0,0,Mr,2
75,1,3,32.0,56.4958,,0,1,0,0,1,Mr,1
76,0,3,25.0,7.65,F G73,0,1,0,0,1,Mr,1
77,0,3,,7.8958,,0,1,0,0,1,Mr,1
78,0,3,,8.05,,0,1,0,0,1,Mr,1
79,1,2,0.83,29.0,,0,1,0,0,1,Master,3
80,1,3,30.0,12.475,,1,0,0,0,1,Miss,1
81,0,3,22.0,9.0,,0,1,0,0,1,Mr,1
82,1,3,29.0,9.5,,0,1,0,0,1,Mr,1
83,1,3,,7.7875,,1,0,0,1,0,Miss,1
84,0,1,28.0,47.1,,0,1,0,0,1,Mr,1
85,1,2,17.0,10.5,,1,0,0,0,1,Miss,1
86,1,3,33.0,15.85,,1,0,0,0,1,Mrs,4
87,0,3,16.0,34.375,,0,1,0,0,1,Mr,5
88,0,3,,8.05,,0,1,0,0,1,Mr,1
89,1,1,23.0,263.0,C23 C25 C27,1,0,0,0,1,Miss,6
90,0,3,24.0,8.05,,0,1,0,0,1,Mr,1
91,0,3,29.0,8.05,,0,1,0,0,1,Mr,1
92,0,3,20.0,7.8542,,0,1,0,0,1,Mr,1
93,0,1,46.0,61.175,E31,0,1,0,0,1,Mr,2
94,0,3,26.0,20.575,,0,1,0,0,1,Mr,4
95,0,3,59.0,7.25,,0,1,0,0,1,Mr,1
96,0,3,,8.05,,0,1,0,0,1,Mr,1
97,0,1,71.0,34.6542,A5,0,1,1,0,0,Mr,1
98,1,1,23.0,63.3583,D10 D12,0,1,1,0,0,Mr,2
99,1,2,34.0,23.0,,1,0,0,0,1,Mrs,2
100,0,2,34.0,26.0,,0,1,0,0,1,Mr,2
101,0,3,28.0,7.8958,,1,0,0,0,1,Miss,1
102,0,3,,7.8958,,0,1,0,0,1,Mr,1
103,0,1,21.0,77.2875,D26,0,1,0,0,1,Mr,2
104,0,3,33.0,8.6542,,0,1,0,0,1,Mr,1
105,0,3,37.0,7.925,,0,1,0,0,1,Mr,3
106,0,3,28.0,7.8958,,0,1,0,0,1,Mr,1
107,1,3,21.0,7.65,,1,0,0,0,1,Miss,1
108,1,3,,7.775,,0,1,0,0,1,Mr,1
109,0,3,38.0,7.8958,,0,1,0,0,1,Mr,1
110,1,3,,24.15,,1,0,0,1,0,Miss,2
111,0,1,47.0,52.0,C110,0,1,0,0,1,Mr,1
112,0,3,14.5,14.4542,,1,0,1,0,0,Miss,2
113,0,3,22.0,8.05,,0,1,0,0,1,Mr,1
114,0,3,20.0,9.825,,1,0,0,0,1,Miss,2
115,0,3,17.0,14.4583,,1,0,1,0,0,Miss,1
116,0,3,21.0,7.925,,0,1,0,0,1,Mr,1
117,0,3,70.5,7.75,,0,1,0,1,0,Mr,1
118,0,2,29.0,21.0,,0,1,0,0,1,Mr,2
119,0,1,24.0,247.5208,B58 B60,0,1,1,0,0,Mr,2
120,0,3,2.0,31.275,,1,0,0,0,1,Miss,7
121,0,2,21.0,73.5,,0,1,0,0,1,Mr,3
122,0,3,,8.05,,0,1,0,0,1,Mr,1
123,0,2,32.5,30.0708,,0,1,1,0,0,Mr,2
124,1,2,32.5,13.0,E101,1,0,0,0,1,Miss,1
125,0,1,54.0,77.2875,D26,0,1,0,0,1,Mr,2
126,1,3,12.0,11.2417,,0,1,1,0,0,Master,2
127,0,3,,7.75,,0,1,0,1,0,Mr,1
128,1,3,24.0,7.1417,,0,1,0,0,1,Mr,1
129,1,3,,22.3583,F E69,1,0,1,0,0,Miss,3
130,0,3,45.0,6.975,,0,1,0,0,1,Mr,1
131,0,3,33.0,7.8958,,0,1,1,0,0,Mr,1
132,0,3,20.0,7.05,,0,1,0,0,1,Mr,1
133,0,3,47.0,14.5,,1,0,0,0,1,Mrs,2
134,1,2,29.0,26.0,,1,0,0,0,1,Mrs,2
135,0,2,25.0,13.0,,0,1,0,0,1,Mr,1
136,0,2,23.0,15.0458,,0,1,1,0,0,Mr,1
137,1,1,19.0,26.2833,D47,1,0,0,0,1,Miss,3
138,0,1,37.0,53.1,C123,0,1,0,0,1,Mr,2
139,0,3,16.0,9.2167,,0,1,0,0,1,Mr,1
140,0,1,24.0,79.2,B86,0,1,1,0,0,Mr,1
141,0,3,,15.2458,,1,0,1,0,0,Mrs,3
142,1,3,22.0,7.75,,1,0,0,0,1,Miss,1
143,1,3,24.0,15.85,,1,0,0,0,1,Mrs,2
144,0,3,19.0,6.75,,0,1,0,1,0,Mr,1
145,0,2,18.0,11.5,,0,1,0,0,1,Mr,1
146,0,2,19.0,36.75,,0,1,0,0,1,Mr,3
147,1,3,27.0,7.7958,,0,1,0,0,1,Mr,1
148,0,3,9.0,34.375,,1,0,0,0,1,Miss,5
149,0,2,36.5,26.0,F2,0,1,0,0,1,Mr,3
150,0,2,42.0,13.0,,0,1,0,0,1,Rev,1
151,0,2,51.0,12.525,,0,1,0,0,1,Rev,1
152,1,1,22.0,66.6,C2,1,0,0,0,1,Mrs,2
153,0,3,55.5,8.05,,0,1,0,0,1,Mr,1
154,0,3,40.5,14.5,,0,1,0,0,1,Mr,3
155,0,3,,7.3125,,0,1,0,0,1,Mr,1
156,0,1,51.0,61.3792,,0,1,1,0,0,Mr,2
157,1,3,16.0,7.7333,,1,0,0,1,0,Miss,1
158,0,3,30.0,8.05,,0,1,0,0,1,Mr,1
159,0,3,,8.6625,,0,1,0,0,1,Mr,1
160,0,3,,69.55,,0,1,0,0,1,Master,11
161,0,3,44.0,16.1,,0,1,0,0,1,Mr,2
162,1,2,40.0,15.75,,1,0,0,0,1,Mrs,1
163,0,3,26.0,7.775,,0,1,0,0,1,Mr,1
164,0,3,17.0,8.6625,,0,1,0,0,1,Mr,1
165,0,3,1.0,39.6875,,0,1,0,0,1,Master,6
166,1,3,9.0,20.525,,0,1,0,0,1,Master,3
167,1,1,,55.0,E33,1,0,0,0,1,Mrs,2
168,0,3,45.0,27.9,,1,0,0,0,1,Mrs,6
169,0,1,,25.925,,0,1,0,0,1,Mr,1
170,0,3,28.0,56.4958,,0,1,0,0,1,Mr,1
171,0,1,61.0,33.5,B19,0,1,0,0,1,Mr,1
172,0,3,4.0,29.125,,0,1,0,1,0,Master,6
173,1,3,1.0,11.1333,,1,0,0,0,1,Miss,3
174,0,3,21.0,7.925,,0,1,0,0,1,Mr,1
175,0,1,56.0,30.6958,A7,0,1,1,0,0,Mr,1
176,0,3,18.0,7.8542,,0,1,0,0,1,Mr,3
177,0,3,,25.4667,,0,1,0,0,1,Master,5
178,0,1,50.0,28.7125,C49,1,0,1,0,0,Miss,1
179,0,2,30.0,13.0,,0,1,0,0,1,Mr,1
180,0,3,36.0,0.0,,0,1,0,0,1,Mr,1
181,0,3,,69.55,,1,0,0,0,1,Miss,11
182,0,2,,15.05,,0,1,1,0,0,Mr,1
183,0,3,9.0,31.3875,,0,1,0,0,1,Master,7
184,1,2,1.0,39.0,F4,0,1,0,0,1,Master,4
185,1,3,4.0,22.025,,1,0,0,0,1,Miss,3
186,0,1,,50.0,A32,0,1,0,0,1,Mr,1
187,1,3,,15.5,,1,0,0,1,0,Mrs,2
188,1,1,45.0,26.55,,0,1,0,0,1,Mr,1
189,0,3,40.0,15.5,,0,1,0,1,0,Mr,3
190,0,3,36.0,7.8958,,0,1,0,0,1,Mr,1
191,1,2,32.0,13.0,,1,0,0,0,1,Mrs,1
192,0,2,19.0,13.0,,0,1,0,0,1,Mr,1
193,1,3,19.0,7.8542,,1,0,0,0,1,Miss,2
194,1,2,3.0,26.0,F2,0,1,0,0,1,Master,3
195,1,1,44.0,27.7208,B4,1,0,1,0,0,Mrs,1
196,1,1,58.0,146.5208,B80,1,0,1,0,0,Miss,1
197,0,3,,7.75,,0,1,0,1,0,Mr,1
198,0,3,42.0,8.4042,,0,1,0,0,1,Mr,2
199,1,3,,7.75,,1,0,0,1,0,Miss,1
200,0,2,24.0,13.0,,1,0,0,0,1,Miss,1
201,0,3,28.0,9.5,,0,1,0,0,1,Mr,1
202,0,3,,69.55,,0,1,0,0,1,Mr,11
203,0,3,34.0,6.4958,,0,1,0,0,1,Mr,1
204,0,3,45.5,7.225,,0,1,1,0,0,Mr,1
205,1,3,18.0,8.05,,0,1,0,0,1,Mr,1
206,0,3,2.0,10.4625,G6,1,0,0,0,1,Miss,2
207,0,3,32.0,15.85,,0,1,0,0,1,Mr,2
208,1,3,26.0,18.7875,,0,1,1,0,0,Mr,1
209,1,3,16.0,7.75,,1,0,0,1,0,Miss,1
210,1,1,40.0,31.0,A31,0,1,1,0,0,Mr,1
211,0,3,24.0,7.05,,0,1,0,0,1,Mr,1
212,1,2,35.0,21.0,,1,0,0,0,1,Miss,1
213,0,3,22.0,7.25,,0,1,0,0,1,Mr,1
214,0,2,30.0,13.0,,0,1,0,0,1,Mr,1
215,0,3,,7.75,,0,1,0,1,0,Mr,2
216,1,1,31.0,113.275,D36,1,0,1,0,0,Miss,2
217,1,3,27.0,7.925,,1,0,0,0,1,Miss,1
218,0,2,42.0,27.0,,0,1,0,0,1,Mr,2
219,1,1,32.0,76.2917,D15,1,0,1,0,0,Miss,1
220,0,2,30.0,10.5,,0,1,0,0,1,Mr,1
221,1,3,16.0,8.05,,0,1,0,0,1,Mr,1
222,0,2,27.0,13.0,,0,1,0,0,1,Mr,1
223,0,3,51.0,8.05,,0,1,0,0,1,Mr,1
224,0,3,,7.8958,,0,1,0,0,1,Mr,1
225,1,1,38.0,90.0,C93,0,1,0,0,1,Mr,2
226,0,3,22.0,9.35,,0,1,0,0,1,Mr,1
227,1,2,19.0,10.5,,0,1,0,0,1,Mr,1
228,0,3,20.5,7.25,,0,1,0,0,1,Mr,1
229,0,2,18.0,13.0,,0,1,0,0,1,Mr,1
230,0,3,,25.4667,,1,0,0,0,1,Miss,5
231,1,1,35.0,83.475,C83,1,0,0,0,1,Mrs,2
232,0,3,29.0,7.775,,0,1,0,0,1,Mr,1
233,0,2,59.0,13.5,,0,1,0,0,1,Mr,1
234,1,3,5.0,31.3875,,1,0,0,0,1,Miss,7
235,0,2,24.0,10.5,,0,1,0,0,1,Mr,1
236,0,3,,7.55,,1,0,0,0,1,Miss,1
237,0,2,44.0,26.0,,0,1,0,0,1,Mr,2
238,1,2,8.0,26.25,,1,0,0,0,1,Miss,3
239,0,2,19.0,10.5,,0,1,0,0,1,Mr,1
240,0,2,33.0,12.275,,0,1,0,0,1,Mr,1
241,0,3,,14.4542,,1,0,1,0,0,Miss,2
242,1,3,,15.5,,1,0,0,1,0,Miss,2
243,0,2,29.0,10.5,,0,1,0,0,1,Mr,1
244,0,3,22.0,7.125,,0,1,0,0,1,Mr,1
245,0,3,30.0,7.225,,0,1,1,0,0,Mr,1
246,0,1,44.0,90.0,C78,0,1,0,1,0,Dr,3
247,0,3,25.0,7.775,,1,0,0,0,1,Miss,1
248,1,2,24.0,14.5,,1,0,0,0,1,Mrs,3
249,1,1,37.0,52.5542,D35,0,1,0,0,1,Mr,3
250,0,2,54.0,26.0,,0,1,0,0,1,Rev,2
251,0,3,,7.25,,0,1,0,0,1,Mr,1
252,0,3,29.0,10.4625,G6,1,0,0,0,1,Mrs,3
253,0,1,62.0,26.55,C87,0,1,0,0,1,Mr,1
254,0,3,30.0,16.1,,0,1,0,0,1,Mr,2
255,0,3,41.0,20.2125,,1,0,0,0,1,Mrs,3
256,1,3,29.0,15.2458,,1,0,1,0,0,Mrs,3
257,1,1,,79.2,,1,0,1,0,0,Mrs,1
258,1,1,30.0,86.5,B77,1,0,0,0,1,Miss,1
259,1,1,35.0,512.3292,,1,0,1,0,0,Miss,1
260,1,2,50.0,26.0,,1,0,0,0,1,Mrs,2
261,0,3,,7.75,,0,1,0,1,0,Mr,1
262,1,3,3.0,31.3875,,0,1,0,0,1,Master,7
263,0,1,52.0,79.65,E67,0,1,0,0,1,Mr,3
264,0,1,40.0,0.0,B94,0,1,0,0,1,Mr,1
265,0,3,,7.75,,1,0,0,1,0,Miss,1
266,0,2,36.0,10.5,,0,1,0,0,1,Mr,1
267,0,3,16.0,39.6875,,0,1,0,0,1,Mr,6
268,1,3,25.0,7.775,,0,1,0,0,1,Mr,2
269,1,1,58.0,153.4625,C125,1,0,0,0,1,Mrs,2
270,1,1,35.0,135.6333,C99,1,0,0,0,1,Miss,1
271,0,1,,31.0,,0,1,0,0,1,Mr,1
272,1,3,25.0,0.0,,0,1,0,0,1,Mr,1
273,1,2,41.0,19.5,,1,0,0,0,1,Mrs,2
274,0,1,37.0,29.7,C118,0,1,1,0,0,Mr,2
275,1,3,,7.75,,1,0,0,1,0,Miss,1
276,1,1,63.0,77.9583,D7,1,0,0,0,1,Miss,2
277,0,3,45.0,7.75,,1,0,0,0,1,Miss,1
278,0,2,,0.0,,0,1,0,0,1,Mr,1
279,0,3,7.0,29.125,,0,1,0,1,0,Master,6
280,1,3,35.0,20.25,,1,0,0,0,1,Mrs,3
281,0,3,65.0,7.75,,0,1,0,1,0,Mr,1
282,0,3,28.0,7.8542,,0,1,0,0,1,Mr,1
283,0,3,16.0,9.5,,0,1,0,0,1,Mr,1
284,1,3,19.0,8.05,,0,1,0,0,1,Mr,1
285,0,1,,26.0,A19,0,1,0,0,1,Mr,1
286,0,3,33.0,8.6625,,0,1,1,0,0,Mr,1
287,1,3,30.0,9.5,,0,1,0,0,1,Mr,1
288,0,3,22.0,7.8958,,0,1,0,0,1,Mr,1
289,1,2,42.0,13.0,,0,1,0,0,1,Mr,1
290,1,3,22.0,7.75,,1,0,0,1,0,Miss,1
291,1,1,26.0,78.85,,1,0,0,0,1,Miss,1
292,1,1,19.0,91.0792,B49,1,0,1,0,0,Mrs,2
293,0,2,36.0,12.875,D,0,1,1,0,0,Mr,1
294,0,3,24.0,8.85,,1,0,0,0,1,Miss,1
295,0,3,24.0,7.8958,,0,1,0,0,1,Mr,1
296,0,1,,27.7208,,0,1,1,0,0,Mr,1
297,0,3,23.5,7.2292,,0,1,1,0,0,Mr,1
