PassengerId,Survived,Pclass,Age,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title,FamilySize
595,0,2,37.0,26.0,,0,1,0,0,1,Mr,2
596,0,3,36.0,24.15,,0,1,0,0,1,Mr,3
597,1,2,,33.0,,1,0,0,0,1,Miss,1
598,0,3,49.0,0.0,,0,1,0,0,1,Mr,1
599,0,3,,7.225,,0,1,1,0,0,Mr,1
600,1,1,49.0,56.9292,A20,0,1,1,0,0,Sir,2
601,1,2,24.0,27.0,,1,0,0,0,1,Mrs,4
602,0,3,,7.8958,,0,1,0,0,1,Mr,1
603,0,1,,42.4,,0,1,0,0,1,Mr,1
604,0,3,44.0,8.05,,0,1,0,0,1,Mr,1
605,1,1,35.0,26.55,,0,1,1,0,0,Mr,1
606,0,3,36.0,15.55,,0,1,0,0,1,Mr,2
607,0,3,30.0,7.8958,,0,1,0,0,1,Mr,1
608,1,1,27.0,30.5,,0,1,0,0,1,Mr,1
609,1,2,22.0,41.5792,,1,0,1,0,0,Mrs,4
610,1,1,40.0,153.4625,C125,1,0,0,0,1,Miss,1
611,0,3,39.0,31.275,,1,0,0,0,1,Mrs,7
612,0,3,,7.05,,0,1,0,0,1,Mr,1
613,1,3,,15.5,,1,0,0,1,0,Miss,2
614,0,3,,7.75,,0,1,0,1,0,Mr,1
615,0,3,35.0,8.05,,0,1,0,0,1,Mr,1
616,1,2,24.0,65.0,,1,0,0,0,1,Miss,4
617,0,3,34.0,14.4,,0,1,0,0,1,Mr,3
618,0,3,26.0,16.1,,1,0,0,0,1,Mrs,2
619,1,2,4.0,39.0,F4,1,0,0,0,1,Miss,4
620,0,2,26.0,10.5,,0,1,0,0,1,Mr,1
621,0,3,27.0,14.4542,,0,1,1,0,0,Mr,2
622,1,1,42.0,52.5542,D19,0,1,0,0,1,Mr,2
623,1,3,20.0,15.7417,,0,1,1,0,0,Mr,3
624,0,3,21.0,7.8542,,0,1,0,0,1,Mr,1
625,0,3,21.0,16.1,,0,1,0,0,1,Mr,1
626,0,1,61.0,32.3208,D50,0,1,0,0,1,Mr,1
627,0,2,57.0,12.35,,0,1,0,1,0,Rev,1
628,1,1,21.0,77.9583,D9,1,0,0,0,1,Miss,1
629,0,3,26.0,7.8958,,0,1,0,0,1,Mr,1
630,0,3,,7.7333,,0,1,0,1,0,Mr,1
631,1,1,80.0,30.0,A23,0,1,0,0,1,Mr,1
632,0,3,51.0,7.0542,,0,1,0,0,1,Mr,1
633,1,1,32.0,30.5,B50,0,1,1,0,0,Dr,1
634,0,1,,0.0,,0,1,0,0,1,Mr,1
635,0,3,9.0,27.9,,1,0,0,0,1,Miss,6
636,1,2,28.0,13.0,,1,0,0,0,1,Miss,1
637,0,3,32.0,7.925,,0,1,0,0,1,Mr,1
638,0,2,31.0,26.25,,0,1,0,0,1,Mr,3
639,0,3,41.0,39.6875,,1,0,0,0,1,Mrs,6
640,0,3,,16.1,,0,1,0,0,1,Mr,2
641,0,3,20.0,7.8542,,0,1,0,0,1,Mr,1
642,1,1,24.0,69.3,B35,1,0,1,0,0,Mlle,1
643,0,3,2.0,27.9,,1,0,0,0,1,Miss,6
644,1,3,,56.4958,,0,1,0,0,1,Mr,1
645,1,3,0.75,19.2583,,1,0,1,0,0,Miss,4
646,1,1,48.0,76.7292,D33,0,1,1,0,0,Mr,2
647,0,3,19.0,7.8958,,0,1,0,0,1,Mr,1
648,1,1,56.0,35.5,A26,0,1,1,0,0,Col,1
649,0,3,,7.55,,0,1,0,0,1,Mr,1
650,1,3,23.0,7.55,,1,0,0,0,1,Miss,1
651,0,3,,7.8958,,0,1,0,0,1,Mr,1
652,1,2,18.0,23.0,,1,0,0,0,1,Miss,2
653,0,3,21.0,8.4333,,0,1,0,0,1,Mr,1
654,1,3,,7.8292,,1,0,0,1,0,Miss,1
655,0,3,18.0,6.75,,1,0,0,1,0,Miss,1
656,0,2,24.0,73.5,,0,1,0,0,1,Mr,3
657,0,3,,7.8958,,0,1,0,0,1,Mr,1
658,0,3,32.0,15.5,,1,0,0,1,0,Mrs,3
659,0,2,23.0,13.0,,0,1,0,0,1,Mr,1
660,0,1,58.0,113.275,D48,0,1,1,0,0,Mr,3
661,1,1,50.0,133.65,,0,1,0,0,1,Dr,3
662,0,3,40.0,7.225,,0,1,1,0,0,Mr,1
663,0,1,47.0,25.5875,E58,0,1,0,0,1,Mr,1
664,0,3,36.0,7.4958,,0,1,0,0,1,Mr,1
665,1,3,20.0,7.925,,0,1,0,0,1,Mr,2
666,0,2,32.0,73.5,,0,1,0,0,1,Mr,3
667,0,2,25.0,13.0,,0,1,0,0,1,Mr,1
668,0,3,,7.775,,0,1,0,0,1,Mr,1
669,0,3,43.0,8.05,,0,1,0,0,1,Mr,1
670,1,1,,52.0,C126,1,0,0,0,1,Mrs,2
671,1,2,40.0,39.0,,1,0,0,0,1,Mrs,3
672,0,1,31.0,52.0,B71,0,1,0,0,1,Mr,2
673,0,2,70.0,10.5,,0,1,0,0,1,Mr,1
674,1,2,31.0,13.0,,0,1,0,0,1,Mr,1
675,0,2,,0.0,,0,1,0,0,1,Mr,1
676,0,3,18.0,7.775,,0,1,0,0,1,Mr,1
677,0,3,24.5,8.05,,0,1,0,0,1,Mr,1
678,1,3,18.0,9.8417,,1,0,0,0,1,Miss,1
679,0,3,43.0,46.9,,1,0,0,0,1,Mrs,8
680,1,1,36.0,512.3292,B51 B53 B55,0,1,1,0,0,Mr,2
681,0,3,,8.1375,,1,0,0,1,0,Miss,1
682,1,1,27.0,76.7292,D49,0,1,1,0,0,Mr,1
683,0,3,20.0,9.225,,0,1,0,0,1,Mr,1
684,0,3,14.0,46.9,,0,1,0,0,1,Mr,8
685,0,2,60.0,39.0,,0,1,0,0,1,Mr,3
686,0,2,25.0,41.5792,,0,1,1,0,0,Mr,4
687,0,3,14.0,39.6875,,0,1,0,0,1,Mr,6
688,0,3,19.0,10.1708,,0,1,0,0,1,Mr,1
689,0,3,18.0,7.7958,,0,1,0,0,1,Mr,1
690,1,1,15.0,211.3375,B5,1,0,0,0,1,Miss,2
691,1,1,31.0,57.0,B20,0,1,0,0,1,Mr,2
692,1,3,4.0,13.4167,,1,0,1,0,0,Miss,2
693,1,3,,56.4958,,0,1,0,0,1,Mr,1
694,0,3,25.0,7.225,,0,1,1,0,0,Mr,1
695,0,1,60.0,26.55,,0,1,0,0,1,Col,1
696,0,2,52.0,13.5,,0,1,0,0,1,Mr,1
697,0,3,44.0,8.05,,0,1,0,0,1,Mr,1
698,1,3,,7.7333,,1,0,0,1,0,Miss,1
699,0,1,49.0,110.8833,C68,0,1,1,0,0,Mr,3
700,0,3,42.0,7.65,F G63,0,1,0,0,1,Mr,1
701,1,1,18.0,227.525,C62 C64,1,0,1,0,0,Mrs,2
702,1,1,35.0,26.2875,E24,0,1,0,0,1,Mr,1
703,0,3,18.0,14.4542,,1,0,1,0,0,Miss,2
704,0,3,25.0,7.7417,,0,1,0,1,0,Mr,1
705,0,3,26.0,7.8542,,0,1,0,0,1,Mr,2
706,0,2,39.0,26.0,,0,1,0,0,1,Mr,1
707,1,2,45.0,13.5,,1,0,0,0,1,Mrs,1
708,1,1,42.0,26.2875,E24,0,1,0,0,1,Mr,1
709,1,1,22.0,151.55,,1,0,0,0,1,Miss,1
710,1,3,,15.2458,,0,1,1,0,0,Master,3
711,1,1,24.0,49.5042,C90,1,0,1,0,0,Mlle,1
712,0,1,,26.55,C124,0,1,0,0,1,Mr,1
713,1,1,48.0,52.0,C126,0,1,0,0,1,Mr,2
714,0,3,29.0,9.4833,,0,1,0,0,1,Mr,1
715,0,2,52.0,13.0,,0,1,0,0,1,Mr,1
716,0,3,19.0,7.65,F G73,0,1,0,0,1,Mr,1
717,1,1,38.0,227.525,C45,1,0,1,0,0,Miss,1
718,1,2,27.0,10.5,E101,1,0,0,0,1,Miss,1
719,0,3,,15.5,,0,1,0,1,0,Mr,1
720,0,3,33.0,7.775,,0,1,0,0,1,Mr,1
721,1,2,6.0,33.0,,1,0,0,0,1,Miss,2
722,0,3,17.0,7.0542,,0,1,0,0,1,Mr,2
723,0,2,34.0,13.0,,0,1,0,0,1,Mr,1
724,0,2,50.0,13.0,,0,1,0,0,1,Mr,1
725,1,1,27.0,53.1,E8,0,1,0,0,1,Mr,2
726,0,3,20.0,8.6625,,0,1,0,0,1,Mr,1
727,1,2,30.0,21.0,,1,0,0,0,1,Mrs,4
728,1,3,,7.7375,,1,0,0,1,0,Miss,1
729,0,2,25.0,26.0,,0,1,0,0,1,Mr,2
730,0,3,25.0,7.925,,1,0,0,0,1,Miss,2
731,1,1,29.0,211.3375,B5,1,0,0,0,1,Miss,1
732,0,3,11.0,18.7875,,0,1,1,0,0,Mr,1
733,0,2,,0.0,,0,1,0,0,1,Mr,1
734,0,2,23.0,13.0,,0,1,0,0,1,Mr,1
735,0,2,23.0,13.0,,0,1,0,0,1,Mr,1
736,0,3,28.5,16.1,,0,1,0,0,1,Mr,1
737,0,3,48.0,34.375,,1,0,0,0,1,Mrs,5
738,1,1,35.0,512.3292,B101,0,1,1,0,0,Mr,1
739,0,3,,7.8958,,0,1,0,0,1,Mr,1
740,0,3,,7.8958,,0,1,0,0,1,Mr,1
741,1,1,,30.0,D45,0,1,0,0,1,Mr,1
742,0,1,36.0,78.85,C46,0,1,0,0,1,Mr,2
743,1,1,21.0,262.375,B57 B59 B63 B66,1,0,1,0,0,Miss,5
744,0,3,24.0,16.1,,0,1,0,0,1,Mr,2
745,1,3,31.0,7.925,,0,1,0,0,1,Mr,1
746,0,1,70.0,71.0,B22,0,1,0,0,1,Capt,3
747,0,3,16.0,20.25,,0,1,0,0,1,Mr,3
748,1,2,30.0,13.0,,1,0,0,0,1,Miss,1
749,0,1,19.0,53.1,D30,0,1,0,0,1,Mr,2
750,0,3,31.0,7.75,,0,1,0,1,0,Mr,1
751,1,2,4.0,23.0,,1,0,0,0,1,Miss,3
752,1,3,6.0,12.475,E121,0,1,0,0,1,Master,2
753,0,3,33.0,9.5,,0,1,0,0,1,Mr,1
754,0,3,23.0,7.8958,,0,1,0,0,1,Mr,1
755,1,2,48.0,65.0,,1,0,0,0,1,Mrs,4
756,1,2,0.67,14.5,,0,1,0,0,1,Master,3
757,0,3,28.0,7.7958,,0,1,0,0,1,Mr,1
758,0,2,18.0,11.5,,0,1,0,0,1,Mr,1
759,0,3,34.0,8.05,,0,1,0,0,1,Mr,1
760,1,1,33.0,86.5,B77,1,0,0,0,1,Countess,1
761,0,3,,14.5,,0,1,0,0,1,Mr,1
762,0,3,41.0,7.125,,0,1,0,0,1,Mr,1
763,1,3,20.0,7.2292,,0,1,1,0,0,Mr,1
764,1,1,36.0,120.0,B96 B98,1,0,0,0,1,Mrs,4
765,0,3,16.0,7.775,,0,1,0,0,1,Mr,1
766,1,1,51.0,77.9583,D11,1,0,0,0,1,Mrs,2
767,0,1,,39.6,,0,1,1,0,0,Dr,1
768,0,3,30.5,7.75,,1,0,0,1,0,Miss,1
769,0,3,,24.15,,0,1,0,1,0,Mr,2
770,0,3,32.0,8.3625,,0,1,0,0,1,Mr,1
771,0,3,24.0,9.5,,0,1,0,0,1,Mr,1
772,0,3,48.0,7.8542,,0,1,0,0,1,Mr,1
773,0,2,57.0,10.5,E77,1,0,0,0,1,Mrs,1
774,0,3,,7.225,,0,1,1,0,0,Mr,1
775,1,2,54.0,23.0,,1,0,0,0,1,Mrs,5
776,0,3,18.0,7.75,,0,1,0,0,1,Mr,1
777,0,3,,7.75,F38,0,1,0,1,0,Mr,1
778,1,3,5.0,12.475,,1,0,0,0,1,Miss,1
779,0,3,,7.7375,,0,1,0,1,0,Mr,1
780,1,1,43.0,211.3375,B3,1,0,0,0,1,Mrs,2
781,1,3,13.0,7.2292,,1,0,1,0,0,Miss,1
782,1,1,17.0,57.0,B20,1,0,0,0,1,Mrs,2
783,0,1,29.0,30.0,D6,0,1,0,0,1,Mr,1
784,0,3,,23.45,,0,1,0,0,1,Mr,4
785,0,3,25.0,7.05,,0,1,0,0,1,Mr,1
786,0,3,25.0,7.25,,0,1,0,0,1,Mr,1
787,1,3,18.0,7.4958,,1,0,0,0,1,Miss,1
788,0,3,8.0,29.125,,0,1,0,1,0,Master,6
789,1,3,1.0,20.575,,0,1,0,0,1,Master,4
790,0,1,46.0,79.2,B82 B84,0,1,1,0,0,Mr,1
791,0,3,,7.75,,0,1,0,1,0,Mr,1
792,0,2,16.0,26.0,,0,1,0,0,1,Mr,1
793,0,3,,69.55,,1,0,0,0,1,Miss,11
794,0,1,,30.6958,,0,1,1,0,0,Mr,1
795,0,3,25.0,7.8958,,0,1,0,0,1,Mr,1
796,0,2,39.0,13.0,,0,1,0,0,1,Mr,1
797,1,1,49.0,25.9292,D17,1,0,0,0,1,Dr,1
798,1,3,31.0,8.6833,,1,0,0,0,1,Mrs,1
799,0,3,30.0,7.2292,,0,1,1,0,0,Mr,1
800,0,3,30.0,24.15,,1,0,0,0,1,Mrs,3
801,0,2,34.0,13.0,,0,1,0,0,1,Mr,1
802,1,2,31.0,26.25,,1,0,0,0,1,Mrs,3
803,1,1,11.0,120.0,B96 B98,0,1,0,0,1,Master,4
804,1,3,0.42,8.5167,,0,1,1,0,0,Master,2
805,1,3,27.0,6.975,,0,1,0,0,1,Mr,1
806,0,3,31.0,7.775,,0,1,0,0,1,Mr,1
807,0,1,39.0,0.0,A36,0,1,0,0,1,Mr,1
808,0,3,18.0,7.775,,1,0,0,0,1,Miss,1
809,0,2,39.0,13.0,,0,1,0,0,1,Mr,1
810,1,1,33.0,53.1,E8,1,0,0,0,1,Mrs,2
811,0,3,26.0,7.8875,,0,1,0,0,1,Mr,1
812,0,3,39.0,24.15,,0,1,0,0,1,Mr,1
813,0,2,35.0,10.5,,0,1,0,0,1,Mr,1
814,0,3,6.0,31.275,,1,0,0,0,1,Miss,7
815,0,3,30.5,8.05,,0,1,0,0,1,Mr,1
816,0,1,,0.0,B102,0,1,0,0,1,Mr,1
817,0,3,23.0,7.925,,1,0,0,0,1,Miss,1
818,0,2,31.0,37.0042,,0,1,1,0,0,Mr,3
819,0,3,43.0,6.45,,0,1,0,0,1,Mr,1
820,0,3,10.0,27.9,,0,1,0,0,1,Master,6
821,1,1,52.0,93.5,B69,1,0,0,0,1,Mrs,3
822,1,3,27.0,8.6625,,0,1,0,0,1,Mr,1
823,0,1,38.0,0.0,,0,1,0,0,1,Jonkheer,1
824,1,3,27.0,12.475,E121,1,0,0,0,1,Mrs,2
825,0,3,2.0,39.6875,,0,1,0,0,1,Master,6
826,0,3,,6.95,,0,1,0,1,0,Mr,1
827,0,3,,56.4958,,0,1,0,0,1,Mr,1
828,1,2,1.0,37.0042,,0,1,1,0,0,Master,3
829,1,3,,7.75,,0,1,0,1,0,Mr,1
830,1,1,62.0,80.0,B28,1,0,0,0,0,Mrs,1
831,1,3,15.0,14.4542,,1,0,1,0,0,Mrs,2
832,1,2,0.83,18.75,,0,1,0,0,1,Master,3
833,0,3,,7.2292,,0,1,1,0,0,Mr,1
834,0,3,23.0,7.8542,,0,1,0,0,1,Mr,1
835,0,3,18.0,8.3,,0,1,0,0,1,Mr,1
836,1,1,39.0,83.1583,E49,1,0,1,0,0,Miss,3
837,0,3,21.0,8.6625,,0,1,0,0,1,Mr,1
838,0,3,,8.05,,0,1,0,0,1,Mr,1
839,1,3,32.0,56.4958,,0,1,0,0,1,Mr,1
840,1,1,,29.7,C47,0,1,1,0,0,Mr,1
841,0,3,20.0,7.925,,0,1,0,0,1,Mr,1
842,0,2,16.0,10.5,,0,1,0,0,1,Mr,1
843,1,1,30.0,31.0,,1,0,1,0,0,Miss,1
844,0,3,34.5,6.4375,,0,1,1,0,0,Mr,1
845,0,3,17.0,8.6625,,0,1,0,0,1,Mr,1
846,0,3,42.0,7.55,,0,1,0,0,1,Mr,1
847,0,3,,69.55,,0,1,0,0,1,Mr,11
848,0,3,35.0,7.8958,,0,1,1,0,0,Mr,1
849,0,2,28.0,33.0,,0,1,0,0,1,Rev,2
850,1,1,,89.1042,C92,1,0,1,0,0,Mrs,2
851,0,3,4.0,31.275,,0,1,0,0,1,Master,7
852,0,3,74.0,7.775,,0,1,0,0,1,Mr,1
853,0,3,9.0,15.2458,,1,0,1,0,0,Miss,3
854,1,1,16.0,39.4,D28,1,0,0,0,1,Miss,2
855,0,2,44.0,26.0,,1,0,0,0,1,Mrs,2
856,1,3,18.0,9.35,,1,0,0,0,1,Mrs,2
857,1,1,45.0,164.8667,,1,0,0,0,1,Mrs,3
858,1,1,51.0,26.55,E17,0,1,0,0,1,Mr,1
859,1,3,24.0,19.2583,,1,0,1,0,0,Mrs,4
860,0,3,,7.2292,,0,1,1,0,0,Mr,1
861,0,3,41.0,14.1083,,0,1,0,0,1,Mr,3
862,0,2,21.0,11.5,,0,1,0,0,1,Mr,2
863,1,1,48.0,25.9292,D17,1,0,0,0,1,Mrs,1
864,0,3,,69.55,,1,0,0,0,1,Miss,11
865,0,2,24.0,13.0,,0,1,0,0,1,Mr,1
866,1,2,42.0,13.0,,1,0,0,0,1,Mrs,1
867,1,2,27.0,13.8583,,1,0,1,0,0,Miss,2
868,0,1,31.0,50.4958,A24,0,1,0,0,1,Mr,1
869,0,3,,9.5,,0,1,0,0,1,Mr,1
870,1,3,4.0,11.1333,,0,1,0,0,1,Master,3
871,0,3,26.0,7.8958,,0,1,0,0,1,Mr,1
872,1,1,47.0,52.5542,D35,1,0,0,0,1,Mrs,3
873,0,1,33.0,5.0,B51 B53 B55,0,1,0,0,1,Mr,1
874,0,3,47.0,9.0,,0,1,0,0,1,Mr,1
875,1,2,28.0,24.0,,1,0,1,0,0,Mrs,2
876,1,3,15.0,7.225,,1,0,1,0,0,Miss,1
877,0,3,20.0,9.8458,,0,1,0,0,1,Mr,1
878,0,3,19.0,7.8958,,0,1,0,0,1,Mr,1
879,0,3,,7.8958,,0,1,0,0,1,Mr,1
880,1,1,56.0,83.1583,C50,1,0,1,0,0,Mrs,2
881,1,2,25.0,26.0,,1,0,0,0,1,Mrs,2
882,0,3,33.0,7.8958,,0,1,0,0,1,Mr,1
883,0,3,22.0,10.5167,,1,0,0,0,1,Miss,1
884,0,2,28.0,10.5,,0,1,0,0,1,Mr,1
885,0,3,25.0,7.05,,0,1,0,0,1,Mr,1
886,0,3,39.0,29.125,,1,0,0,1,0,Mrs,6
887,0,2,27.0,13.0,,0,1,0,0,1,Rev,1
888,1,1,19.0,30.0,B42,1,0,0,0,1,Miss,1
889,0,3,,23.45,,1,0,0,0,1,Miss,4
890,1,1,26.0,30.0,C148,0,1,1,0,0,Mr,1
891,0,3,32.0,7.75,,0,1,0,1,0,Mr,1
